restaurant,reviewer,review,rating,metadata,time,year,length,word_count,suspicious_len,suspicious_dup,possible_ai,restaurant_name,rating_value,category,keywords
Beyond Flavours,Rusha Chakraborty,the ambience was good food was quite good had saturday lunch which was cost effective good place for a sate brunch one can also chill with friends and or parents waiter soumen das was really courteous and helpful,5,"1 Review , 2 Followers",2019-05-25 15:54:00,2019,212,38,False,False,False,Beyond Flavours,5,General,"['brunch', 'chill', 'saturday']"
Beyond Flavours,Anusha Tirumalaneedi,ambience is too good for a pleasant evening service is very prompt food is good over all a good experience soumen das kudos to the service,5,"3 Reviews , 2 Followers",2019-05-25 14:20:00,2019,138,26,False,False,False,Beyond Flavours,5,General,"['kudos', 'pleasant', 'prompt']"
Beyond Flavours,Ashok Shekhawat,a must try great food great ambience thnx for the service by pradeep and subroto my personal recommendation is penne alfredo pasta also the music in the background is amazing,5,"2 Reviews , 3 Followers",2019-05-24 22:54:00,2019,174,30,False,False,False,Beyond Flavours,5,Italian,"['personal', 'great', 'pasta']"
Beyond Flavours,Swapnil Sarkar,soumen das and arun was a great guy only because of their behavior and sincerety and good food off course i would like to visit this place again,5,"1 Review , 1 Follower",2019-05-24 22:11:00,2019,144,28,False,False,False,Beyond Flavours,5,General,"['guy', 'course', 'visit']"
Beyond Flavours,Dileep,food is goodwe ordered kodi drumsticks and basket mutton biryani all are good thanks to pradeep he served well we enjoyed here ambience is also very good,5,"3 Reviews , 2 Followers",2019-05-24 21:37:00,2019,153,27,False,False,False,Beyond Flavours,5,Indian,"['kodi', 'enjoyed', 'thanks']"
Beyond Flavours,Nagabhavani K,ambiance is good service is good food is apradeecp and subro best service food is good papiya good hostess and ur caption very good this is 4star restaurant,5,1 Review,2019-05-24 15:22:00,2019,156,28,False,False,False,Beyond Flavours,5,General,"['good', 'ur', 'service']"
Beyond Flavours,Jamuna Bhuwalka,its a very nice place ambience is different all the food we ordered was very tasty service is also gud worth visit its reasonable as well really a must visit place,5,1 Review,2019-05-24 01:02:00,2019,163,31,False,False,False,Beyond Flavours,5,General,"['visit', 'reasonable', 'different']"
Beyond Flavours,Sandhya S,well after reading so many reviews finally visited this placeambience was so good and coming to food crispy corn is nice tawa fish was ok basket biryani disappointed us biryani was ok but not flattering as they claimed staff was polite and prompt especially pradeep and suman,4,1 Review,2019-05-23 15:01:00,2019,275,47,False,False,False,Beyond Flavours,4,Indian,"['ok', 'biryani', 'prompt']"
Beyond Flavours,Akash Thorat,excellent food specially if you like spicy food courteous staff shubro and pradeep and papiya gave excellent service to our corporate team dinner overall great for team dinners and party,5,"1 Review , 1 Follower",2019-05-22 23:12:00,2019,186,30,False,False,False,Beyond Flavours,5,General,"['team', 'excellent', 'corporate']"
Beyond Flavours,Smarak Patnaik,came for the birthday treat of a close friend perfect place for a treat like this very hospitable and cooperative staff food was delicious ambience was really good with the music and the lighting chili honey lotus stem is a must try here special mention to papiya who took good care of us,5,"1 Review , 1 Follower",2019-05-22 22:37:00,2019,288,53,False,False,False,Beyond Flavours,5,General,"['treat', 'honey', 'lighting']"
Beyond Flavours,Saubhagya Bhuyan,the service was great and the food was awesome the service staff manab and papiya were very courteous and attentive i would like to come frequently to this place,5,"1 Review , 1 Follower",2019-05-22 22:22:00,2019,161,29,False,False,False,Beyond Flavours,5,General,"['attentive', 'courteous', 'service']"
Beyond Flavours,Srivaths07,very good ambience amazing food good service and friendly staff pradeep papiya and shuvro will definitely visit again and loved the design of their menu card,5,"3 Reviews , 1 Follower",2019-05-22 21:43:00,2019,157,26,False,False,False,Beyond Flavours,5,General,"['definitely', 'friendly', 'loved']"
Beyond Flavours,Kunj Mishra,food was very good soup was as expected in starters we ordered honey chilli lotus stem and that is a must try for vegan ppl service was great frequent visits from papiya to know our experience and also about the food was really impressive,5,"1 Review , 1 Follower",2019-05-22 21:29:00,2019,238,44,False,False,False,Beyond Flavours,5,General,"['impressive', 'visits', 'honey']"
Beyond Flavours,Pradeep Vetapalem,food is too good telangana kodiak fry is must trymutton biriyani is too goodpapiya helped to choose best dishes and attended very wellmust visit,5,"2 Reviews , 25 Followers",2019-05-22 21:21:00,2019,144,24,False,False,False,Beyond Flavours,5,General,"['helped', 'fry', 'choose']"
Beyond Flavours,Kankaria.ritu,we ordered corn cheese balls manchow soup and paneer shashlik sizzler the sizzler was stale paneer was smelling and the waiter was so impolite to even accept the mistake never going again,1,1 Review,2019-05-22 21:19:00,2019,187,32,False,False,False,Beyond Flavours,1,General,"['sizzler', 'paneer', 'manchow']"
Beyond Flavours,Abhay Sharma,food and ambience is fantastic waiter manav maji was really quick in his service cheese balls is a must try starter as it was very scrumptious,5,"4 Reviews , 7 Followers",2019-05-22 20:38:00,2019,142,26,False,False,False,Beyond Flavours,5,General,"['fantastic', 'waiter', 'starter']"
Beyond Flavours,Shubham Jaiswal,came here for lunch and the food was good and tasty we tried buffet and all the items in veg and nonveg were tasty the ambience and service were also good and the staff were courteous shubhamtraveltaleswordpresscom,4,"30 Reviews , 34 Followers",2019-05-22 19:54:00,2019,214,37,False,False,False,Beyond Flavours,4,General,"['tasty', 'nonveg', 'courteous']"
Beyond Flavours,Srijani Mukherjee,the best thing about this place is the food my favorite go to dish here is definitely alfredo pasta although other items are good as well and the service and behavior of the staff is topnotch we were attended by mr soumen das and he was extremely polite will definitely visit soon,5,"6 Reviews , 267 Followers",2019-05-22 19:47:00,2019,280,52,False,False,False,Beyond Flavours,5,Italian,"['definitely', 'favorite', 'mr']"
Beyond Flavours,Hari Jangam,polite and friendly staff nice ambience and good spread of menu drinks are awesome service is very good by manav looking forward to seeing it again,5,"1 Review , 1 Follower",2019-05-22 15:13:00,2019,147,26,False,False,False,Beyond Flavours,5,General,"['forward', 'spread', 'looking']"
Beyond Flavours,Suneet Soni,food is really good we had vegetarian items including paneer mushroom and kofta additionally service from papiya shuvro was really good,5,"1 Review , 33 Followers",2019-05-21 22:08:00,2019,135,21,False,False,False,Beyond Flavours,5,General,"['including', 'really', 'mushroom']"
Beyond Flavours,Little Chef Chika,beautiful cozy and classy at the same time this place is truly recommended for your special days with 15 percent corporate discounts you can treat your cotorie well without burning a hole ur pocket also the interior is done so well you ll love the vibe on the menu honey chilli lotus stems basket biryanis sizzling brownies were my favourite also loved the tomato basil shorba different from the creamy standards in other restaurants im definitely making more visits to beyond flavours special mention to papiya our hostess for the evening excellent service,5,"72 Reviews , 762 Followers",2019-05-21 22:06:00,2019,557,93,False,False,False,Beyond Flavours,5,Indian,"['special', 'standards', 'visits']"
Beyond Flavours,Sneha Munigela,please was good but it was quite expensive and coming to taste we can rate 3 out of 5 we cant click better pictures wen we visit in nightbest in day time for pics,4,"6 Reviews , 1 Follower",2019-05-21 20:17:00,2019,162,34,False,False,False,Beyond Flavours,4,General,"['pictures', 'rate', 'expensive']"
Beyond Flavours,Sneha Sarkar,service was too good and fast even these people were so polite and well behaving manav and pradeep you were good hope everyone behaves the same way,4,"2 Reviews , 2 Followers",2019-05-21 10:53:00,2019,147,27,False,False,False,Beyond Flavours,4,General,"['hope', 'fast', 'way']"
Beyond Flavours,Tony,we had our farewell feast here recently enjoyed very well very good management so does the boys who gave complimentary food and made us more happy food was perfect desserts starters was wonderful,5,"8 Reviews , 25 Followers",2019-05-21 05:43:00,2019,195,33,False,False,False,Beyond Flavours,5,Dessert,"['complimentary', 'recently', 'does']"
Beyond Flavours,Amritap Datta,excellent experience mouthwatering food good ambience a must go place in hyderabad we were served by shubhro and papiya they were awesome in their behaviour had an enjoyable evening with friends,5,1 Review,2019-05-20 23:33:00,2019,194,31,False,False,False,Beyond Flavours,5,General,"['behaviour', 'evening', 'excellent']"
