restaurant,reviewer,review,rating,metadata,time,year,length,word_count,suspicious_len,suspicious_dup,possible_ai,restaurant_name,rating_value,category,keywords
Al Saba Restaurant,Rajpusapati.testing,food is good food delivery is too late by the the restaurant person no fault by zomato agent,3,"2 Reviews , 1 Follower",2018-06-02 13:15:00,2018,92,18,False,False,False,Al Saba Restaurant,3,General,"['late', 'person', 'delivery']"
Paradise,Nitesh,awesome biryani and kebabs apollo fish is the best one here clean and hygienic food courteous staff and prompt service response keep up the good work,5,0 Reviews,2019-05-22 22:55:00,2019,149,26,False,False,False,Paradise,5,Indian,"['response', 'kebabs', 'clean']"
Delhi-39,Shreyas Morey,as usual food is awesome,4,"5 Reviews , 58 Followers",2018-04-16 21:24:00,2018,24,5,False,False,False,Delhi-39,4,General,"['usual', 'awesome', 'food']"
PourHouse7,Sanober Khanam,so this place is located near ikea above the maruti showroom gachibowli been to pour house 7 two days ago was really good its an excellent place for party lovers foodies i had the best time the ambience where it has both indoor and roof top seating and loved the rooftop seating started off with its delicious mocktails like mojitopina coladasunrise my personal favorite was definitely pina colada and how can i not mention their mouth water biryani and kung pao chicken the kung pao chicken its so flavor full at first youll taste the garlic then a hit of sweetness because of its honey i definitely recommend it to people ive watched one of the best sunsets of my life from their rooftop im a sucker for good food good view loved every bit of that place its a must visit when youre in hyderabad ambience55 food drinks 55 service and staff55,5,"10 Reviews , 13 Followers",2019-04-11 12:58:00,2019,842,153,False,False,False,PourHouse7,5,Indian,"['kung', 'pao', 'rooftop']"
Shah Ghouse Spl Shawarma,Mohammad Waseem,must try placed order from zomato for special rumali shawarma which is for rs120 which is totally worth trust me it is so delicious one must try at any cost request for less spicy usually they make very spicy,5,"37 Reviews , 1092 Followers",2018-09-11 03:34:00,2018,208,39,False,False,False,Shah Ghouse Spl Shawarma,5,General,"['spicy', 'rumali', 'try']"
The Foodie Monster Kitchen,Harshu Manne,loved the shawarmas and chocochip pancakes yummiest everpaneer rice bowl is scrumptious and stomach fillingwill definitely comeback for pancakes and shawarmas,5,"1 Review , 1 Follower",2018-08-22 16:29:00,2018,158,21,False,False,False,The Foodie Monster Kitchen,5,Dessert,"['pancakes', 'stomach', 'bowl']"
Over The Moon Brew Company,Saravan Venketaraman,great ambience the food tasted good as well removing one star because of lack of vegetarian options if they add more options before my next visit ill gladly revisit my rating,4,"3 Reviews , 90 Followers",2019-05-12 15:03:00,2019,174,31,False,False,False,Over The Moon Brew Company,4,General,"['options', 'ill', 'add']"
The Glass Onion,Amrit Acharya,i must say ambience is quite exotic and fancy food was well prepared have ordered different cuisines out of which dan dan noodles outshined and in drinks the star was afternoon fizz for us ambience 45 food 375 service 45 location 45,4,"9 Reviews , 8 Followers",2019-04-28 23:27:00,2019,232,42,False,False,False,The Glass Onion,4,Chinese,"['45', 'cuisines', 'afternoon']"
Aromas@11SIX,Soumendra Kumar Dash,the prices are hiked and then discount is offered basically the discount provided by the restaurant is kind of a fraud and they try to fool people,1,2 Reviews,2019-02-10 10:44:00,2019,146,27,False,False,False,Aromas@11SIX,1,General,"['discount', 'offered', 'provided']"
Aromas@11SIX,Finny Chellakumar,have visited this place few times last year this is a decent dinein joint the food you get here is a normal indochinese food which any chinese restaurant would serve if you want vfm go there and dinein have always felt that the quantity of takeaways are less than dinein the picture is a quantity you get for 320 bucks dish,3,"47 Reviews , 67 Followers",2019-03-24 22:03:00,2019,323,61,False,False,False,Aromas@11SIX,3,Chinese,"['quantity', 'year', 'bucks']"
